,linha,origem,destino,paradas,preco,mes_voo,dia_voo,hora_partida,min_partida,horas_total_duracao,hora_chegada,min_chegada
58,Multiple carriers,Delhi,Cochin,1,8073,6,5,19,0,6.5,1,30
59,Vistara,Mumbai,Hyderabad,1,12395,6,3,15,40,25.083333333333332,16,45
60,Air India,Kolkata,Banglore,1,8366,6,6,9,25,12.416666666666666,21,50
61,Air India,Delhi,Cochin,1,5117,3,4,6,5,27.333333333333332,9,25
62,Multiple carriers,Delhi,Cochin,1,12524,3,6,8,45,10.25,19,0
63,IndiGo,Delhi,Cochin,1,7191,5,15,15,0,10.5,1,30
64,Vistara,Chennai,Kolkata,0,3687,5,24,7,5,2.25,9,20
65,IndiGo,Delhi,Cochin,1,5894,6,24,10,35,10.416666666666666,21,0
66,Vistara,Banglore,Delhi,0,5403,4,24,9,45,2.8333333333333335,12,35
67,Air India,Mumbai,Hyderabad,0,3625,6,5,13,55,1.5,15,25
68,Air India,Delhi,Cochin,2,10861,5,21,5,55,13.333333333333334,19,15
69,IndiGo,Chennai,Kolkata,0,6297,12,3,13,20,2.25,15,35
70,Jet Airways,Mumbai,Hyderabad,0,5678,1,6,7,5,1.4166666666666667,8,30
71,Jet Airways,Banglore,New Delhi,1,9134,9,3,5,45,26.5,8,15
72,Multiple carriers,Delhi,Cochin,1,10791,6,24,11,40,7.333333333333333,19,0
73,Jet Airways,Delhi,Cochin,2,12819,6,24,23,5,13.5,12,35
74,IndiGo,Delhi,Cochin,1,6893,3,21,5,5,5.0,10,5
75,Vistara,Banglore,New Delhi,0,7240,9,3,9,50,2.75,12,35
76,GoAir,Banglore,Delhi,0,3898,3,4,11,40,2.8333333333333335,14,30
77,IndiGo,Mumbai,Hyderabad,0,4049,3,4,6,25,1.5,7,55
78,Jet Airways,Delhi,Cochin,1,10262,6,15,17,30,19.083333333333332,12,35
79,SpiceJet,Chennai,Kolkata,0,3332,3,21,8,20,2.25,10,35
80,Jet Airways,Kolkata,Banglore,1,10844,9,6,21,10,14.833333333333334,12,0
81,Jet Airways,Banglore,New Delhi,0,7229,3,24,19,55,2.6666666666666665,22,35
82,Jet Airways,Kolkata,Banglore,1,13941,6,5,6,30,22.166666666666668,4,40
83,IndiGo,Delhi,Cochin,1,5894,6,27,11,25,9.583333333333334,21,0
84,Multiple carriers,Delhi,Cochin,1,10197,5,18,9,0,10.0,19,0
85,Jet Airways,Banglore,New Delhi,1,13712,6,3,14,5,21.333333333333332,11,25
86,IndiGo,Delhi,Cochin,1,5636,6,24,2,0,5.416666666666667,7,25
87,Jet Airways,Delhi,Cochin,2,13014,6,6,9,40,18.75,4,25
88,Jet Airways,Kolkata,Banglore,1,7064,1,4,8,25,12.333333333333334,20,45
89,Jet Airways,Kolkata,Banglore,1,10703,5,24,20,25,18.0,14,25
90,Multiple carriers,Delhi,Cochin,1,9646,5,27,13,15,9.25,22,30
91,Multiple carriers,Delhi,Cochin,1,17057,6,3,2,15,11.083333333333334,13,20
92,Jet Airways,Banglore,New Delhi,1,13817,12,3,16,55,17.5,10,25
93,Air India,Delhi,Cochin,2,13748,6,3,5,55,13.333333333333334,19,15
94,Air India,Kolkata,Banglore,0,4880,4,21,20,45,2.5833333333333335,23,20
95,IndiGo,Chennai,Kolkata,0,3540,6,21,5,15,2.4166666666666665,7,40
96,SpiceJet,Banglore,Delhi,0,3257,5,15,5,55,2.6666666666666665,8,35
97,Jet Airways,Banglore,Delhi,0,6478,3,6,19,50,3.0,22,50
98,Jet Airways,Mumbai,Hyderabad,0,8040,6,18,7,5,1.4166666666666667,8,30
99,Jet Airways,Delhi,Cochin,2,14300,12,6,20,0,16.583333333333332,12,35
100,Jet Airways,Kolkata,Banglore,1,14781,5,15,8,25,12.333333333333334,20,45
101,Jet Airways,Kolkata,Banglore,1,14939,9,6,20,0,12.25,8,15
102,Jet Airways,Delhi,Cochin,1,10262,6,24,20,55,7.5,4,25
103,Air India,Kolkata,Banglore,1,6528,12,5,14,35,24.0,14,35
104,Air India,Banglore,Delhi,0,6121,1,5,6,10,2.75,8,55
105,Jet Airways,Delhi,Cochin,2,13029,5,18,19,30,8.916666666666666,4,25
106,Multiple carriers,Delhi,Cochin,1,11421,3,27,11,40,7.166666666666667,18,50
107,Multiple carriers,Delhi,Cochin,1,7574,3,27,4,45,14.5,19,15
108,Air India,Delhi,Cochin,2,11596,9,5,12,55,30.333333333333332,19,15
109,Jet Airways,Delhi,Cochin,2,15129,5,24,23,5,19.916666666666668,19,0
110,Jet Airways,Banglore,New Delhi,1,13555,3,18,14,5,15.0,5,5
111,IndiGo,Banglore,Delhi,0,5780,12,4,18,55,2.9166666666666665,21,50
112,Vistara,Kolkata,Banglore,1,9397,12,5,20,20,12.75,9,5
113,Jet Airways,Delhi,Cochin,1,17024,6,3,18,15,10.166666666666666,4,25
114,GoAir,Delhi,Cochin,1,5281,6,27,7,0,5.916666666666667,12,55
115,Multiple carriers,Delhi,Cochin,1,10348,5,18,7,5,15.416666666666666,22,30
116,Air India,Delhi,Cochin,1,12677,6,3,17,20,16.083333333333332,9,25
117,Multiple carriers,Delhi,Cochin,1,15147,3,3,15,25,10.166666666666666,1,35
118,Vistara,Banglore,Delhi,0,4668,12,6,7,0,2.6666666666666665,9,40
119,Jet Airways,Delhi,Cochin,1,15554,9,5,7,5,11.916666666666666,19,0
120,SpiceJet,Banglore,Delhi,0,3971,9,4,5,55,2.6666666666666665,8,35
121,Air India,Mumbai,Hyderabad,0,3100,3,5,15,0,1.4166666666666667,16,25
122,Jet Airways,Kolkata,Banglore,1,9663,6,5,20,0,14.083333333333334,10,5
123,Air India,Delhi,Cochin,1,27430,1,3,23,0,20.25,19,15
124,IndiGo,Chennai,Kolkata,0,3540,12,5,5,15,2.4166666666666665,7,40
125,Air India,Kolkata,Banglore,2,10676,5,21,12,0,23.166666666666668,11,10
126,Jet Airways,Kolkata,Banglore,1,13044,12,6,14,5,18.166666666666668,8,15
127,Jet Airways,Kolkata,Banglore,1,14388,6,5,20,0,16.0,12,0
128,IndiGo,Banglore,Delhi,0,3943,6,24,4,0,2.8333333333333335,6,50
129,IndiGo,Chennai,Kolkata,0,3597,3,6,14,45,2.3333333333333335,17,5
130,Air India,Banglore,New Delhi,1,5932,3,21,11,50,8.0,19,50
131,Jet Airways,Delhi,Cochin,1,10262,6,15,11,30,16.916666666666668,4,25
132,Vistara,Delhi,Cochin,0,6216,12,5,14,40,3.1666666666666665,17,50
133,IndiGo,Kolkata,Banglore,0,4804,6,15,20,25,2.75,23,10
134,Multiple carriers,Delhi,Cochin,1,14067,5,21,11,30,14.0,1,30
135,Jet Airways,Delhi,Cochin,2,15129,5,18,19,10,23.833333333333332,19,0
136,Jet Airways,Delhi,Cochin,2,13376,6,6,6,45,21.666666666666668,4,25
137,Air India,Delhi,Cochin,2,10441,6,27,22,0,21.25,19,15
138,Jet Airways,Banglore,Delhi,0,4030,5,24,6,0,2.75,8,45
139,Jet Airways,Delhi,Cochin,1,17024,3,3,8,0,10.833333333333334,18,50
140,Multiple carriers,Delhi,Cochin,1,13017,9,4,17,30,8.0,1,30
141,GoAir,Kolkata,Banglore,1,6686,6,6,23,30,8.25,7,45
142,IndiGo,Delhi,Cochin,1,5636,6,15,2,0,5.416666666666667,7,25
143,IndiGo,Delhi,Cochin,1,6442,9,6,7,35,8.583333333333334,16,10
144,Multiple carriers,Delhi,Cochin,1,9486,5,21,13,5,11.833333333333334,0,55
145,Jet Airways,Kolkata,Banglore,1,10844,5,21,20,0,27.583333333333332,23,35
146,Jet Airways,Delhi,Cochin,2,15318,3,6,20,0,8.416666666666666,4,25
147,Air India,Delhi,Cochin,1,5117,3,4,12,30,20.916666666666668,9,25
148,IndiGo,Delhi,Cochin,1,6147,6,24,15,10,4.833333333333333,20,0
149,Multiple carriers,Delhi,Cochin,1,7005,9,6,12,50,8.166666666666666,21,0
150,SpiceJet,Kolkata,Banglore,0,3873,3,4,22,20,2.3333333333333335,0,40
151,Jet Airways,Delhi,Cochin,2,9270,3,21,18,25,24.416666666666668,18,50
152,GoAir,Banglore,Delhi,0,3898,6,27,11,40,2.8333333333333335,14,30
153,Jet Airways,Kolkata,Banglore,1,14781,12,5,8,25,12.333333333333334,20,45
154,Jet Airways,Kolkata,Banglore,1,8586,5,24,20,0,12.25,8,15
155,Air India,Kolkata,Banglore,2,10697,9,5,8,20,23.583333333333332,7,55
156,Jet Airways,Delhi,Cochin,2,14300,6,27,20,0,16.583333333333332,12,35
157,IndiGo,Banglore,New Delhi,0,8855,3,3,18,55,2.8333333333333335,21,45
158,Jet Airways,Kolkata,Banglore,1,10844,12,5,16,30,25.75,18,15
159,Jet Airways,Delhi,Cochin,1,17024,6,3,2,15,26.166666666666668,4,25
160,Jet Airways,Kolkata,Banglore,1,9314,1,5,9,35,28.833333333333332,14,25
161,IndiGo,Banglore,New Delhi,0,4777,3,24,0,40,2.75,3,25
162,Air India,Kolkata,Banglore,1,7662,9,6,12,0,25.25,13,15
163,IndiGo,Delhi,Cochin,1,6442,9,5,6,50,9.333333333333334,16,10
164,SpiceJet,Delhi,Cochin,1,5264,12,6,8,45,4.5,13,15
165,Jet Airways,Delhi,Cochin,1,12898,5,27,13,0,15.416666666666666,4,25
166,Air India,Mumbai,Hyderabad,0,6092,3,3,13,55,1.5,15,25
167,SpiceJet,Banglore,Delhi,0,3311,5,21,5,55,2.6666666666666665,8,35
168,Jet Airways,Delhi,Cochin,1,6540,3,27,19,15,9.166666666666666,4,25
169,IndiGo,Banglore,Delhi,0,3419,5,27,1,30,2.75,4,15
170,Jet Airways,Delhi,Cochin,1,5177,3,4,14,0,22.583333333333332,12,35
171,Air India,Delhi,Cochin,0,8246,4,18,18,5,3.0833333333333335,21,10
172,Jet Airways,Kolkata,Banglore,1,14676,9,6,9,35,11.5,21,5
173,Multiple carriers,Delhi,Cochin,1,13587,6,27,11,30,9.5,21,0
174,Jet Airways,Kolkata,Banglore,1,9663,6,5,21,10,12.166666666666666,9,20
175,Jet Airways,Kolkata,Banglore,1,13044,12,6,16,30,17.583333333333332,10,5
176,IndiGo,Delhi,Cochin,1,5073,3,4,20,25,5.083333333333333,1,30
177,Vistara,Kolkata,Banglore,1,9345,5,21,17,0,25.833333333333332,18,50
178,Jet Airways,Kolkata,Banglore,1,9663,6,5,14,5,20.0,10,5
179,Multiple carriers,Delhi,Cochin,1,14277,5,21,8,0,13.0,21,0
180,Jet Airways,Delhi,Cochin,1,10262,1,6,10,0,18.416666666666668,4,25
181,Jet Airways,Mumbai,Hyderabad,0,5678,3,27,19,35,1.5,21,5
182,Multiple carriers,Delhi,Cochin,1,13727,5,15,16,0,9.5,1,30
183,Jet Airways,Kolkata,Banglore,1,9663,6,5,20,0,16.0,12,0
184,IndiGo,Chennai,Kolkata,0,3858,12,5,14,45,2.3333333333333335,17,5
185,SpiceJet,Delhi,Cochin,1,4812,6,24,8,45,4.5,13,15
186,IndiGo,Delhi,Cochin,1,5775,6,27,21,50,5.75,3,35
187,Jet Airways,Kolkata,Banglore,1,10539,6,6,9,35,24.166666666666668,9,45
188,IndiGo,Kolkata,Banglore,0,4804,3,6,15,30,2.5833333333333335,18,5
189,Air Asia,Banglore,Delhi,0,3383,12,6,11,10,2.75,13,55
190,IndiGo,Banglore,New Delhi,1,8738,3,3,12,10,4.916666666666667,17,5
191,Air India,Delhi,Cochin,1,7165,3,27,5,15,25.583333333333332,6,50
192,IndiGo,Delhi,Cochin,1,6412,6,24,16,10,6.333333333333333,22,30
193,Jet Airways,Banglore,Delhi,0,8016,6,27,18,55,3.0833333333333335,22,0
194,Jet Airways,Banglore,New Delhi,1,11087,12,3,20,35,18.666666666666668,15,15
195,SpiceJet,Chennai,Kolkata,0,3543,6,27,9,45,2.25,12,0
196,Jet Airways,Kolkata,Banglore,1,12471,12,6,16,30,12.166666666666666,4,40
197,Jet Airways,Delhi,Cochin,1,10262,6,24,9,0,19.416666666666668,4,25
198,Air India,Banglore,New Delhi,0,4441,3,18,13,20,2.8333333333333335,16,10
199,Multiple carriers,Delhi,Cochin,1,12537,3,27,7,5,8.416666666666666,15,30
200,GoAir,Kolkata,Banglore,1,10091,3,24,22,25,9.25,7,40
201,Air India,Banglore,Delhi,0,6961,3,6,21,5,2.8333333333333335,23,55
202,IndiGo,Delhi,Cochin,0,5013,4,24,5,35,3.25,8,50
203,Air India,Delhi,Cochin,0,6934,5,18,5,10,2.8333333333333335,8,0
204,Multiple carriers,Delhi,Cochin,1,10877,3,6,6,40,12.333333333333334,19,0
205,Jet Airways,Banglore,Delhi,0,7229,4,18,15,15,2.9166666666666665,18,10
206,IndiGo,Delhi,Cochin,1,7048,3,27,16,0,9.583333333333334,1,35
207,Vistara,Banglore,Delhi,0,4878,6,27,17,0,2.5833333333333335,19,35
208,Jet Airways,Kolkata,Banglore,1,10844,5,21,14,5,9.5,23,35
209,Jet Airways,Delhi,Cochin,2,15129,5,18,23,5,29.333333333333332,4,25
210,IndiGo,Banglore,Delhi,0,3943,12,5,0,30,2.9166666666666665,3,25
211,SpiceJet,Delhi,Cochin,1,5583,6,6,6,5,5.25,11,20
212,Multiple carriers,Delhi,Cochin,1,9646,6,6,7,5,9.083333333333334,16,10
213,Multiple carriers,Delhi,Cochin,1,7677,3,6,8,30,10.75,19,15
214,IndiGo,Delhi,Cochin,1,6842,1,6,5,10,4.916666666666667,10,5
215,Jet Airways,Mumbai,Hyderabad,0,4995,6,24,8,45,1.5,10,15
216,Vistara,Kolkata,Banglore,1,9555,9,6,7,10,11.666666666666666,18,50
217,IndiGo,Banglore,Delhi,0,4077,1,6,1,30,2.75,4,15
218,Jet Airways,Banglore,Delhi,0,7229,12,5,15,15,2.9166666666666665,18,10
219,Multiple carriers,Delhi,Cochin,1,12192,9,6,9,0,10.0,19,0
220,Air India,Banglore,Delhi,0,5911,12,4,10,0,2.75,12,45
221,Air India,Delhi,Cochin,1,8372,12,6,9,0,10.25,19,15
222,Jet Airways,Mumbai,Hyderabad,0,4995,3,18,7,10,1.4166666666666667,8,35
223,Multiple carriers,Delhi,Cochin,1,14323,9,5,10,0,9.25,19,15
224,Jet Airways,Delhi,Cochin,2,13014,9,6,5,30,22.916666666666668,4,25
225,Air India,Delhi,Cochin,2,13591,6,6,14,25,28.833333333333332,19,15
226,Jet Airways,Delhi,Cochin,2,18799,3,3,5,25,37.416666666666664,18,50
227,IndiGo,Banglore,Delhi,0,3943,4,27,23,30,2.8333333333333335,2,20
228,SpiceJet,Mumbai,Hyderabad,0,1965,5,21,5,45,1.5,7,15
229,Jet Airways,Mumbai,Hyderabad,0,4995,5,27,10,20,1.5,11,50
230,Air India,Kolkata,Banglore,1,14641,3,24,16,50,25.666666666666668,18,30
231,Air India,Kolkata,Banglore,0,4460,12,4,20,45,2.5833333333333335,23,20
232,Air India,Delhi,Cochin,1,10191,5,18,13,0,6.25,19,15
233,Jet Airways,Delhi,Cochin,1,13843,9,3,2,15,17.5,19,45
234,IndiGo,Delhi,Cochin,1,6349,1,5,21,50,5.75,3,35
235,Air Asia,Kolkata,Banglore,0,4409,1,5,10,20,2.5833333333333335,12,55
236,Jet Airways,Delhi,Cochin,1,17024,6,3,18,15,25.5,19,45
237,Multiple carriers,Delhi,Cochin,1,13727,5,18,7,5,13.916666666666666,21,0
238,IndiGo,Banglore,New Delhi,0,8855,3,15,18,25,2.9166666666666665,21,20
239,Multiple carriers,Delhi,Cochin,1,12524,6,24,8,45,10.25,19,0
240,Jet Airways,Banglore,New Delhi,1,13555,3,18,11,40,8.666666666666666,20,20
241,Jet Airways,Kolkata,Banglore,1,10844,6,6,6,30,5.5,12,0
242,Multiple carriers,Delhi,Cochin,1,13587,9,6,9,0,12.0,21,0
243,SpiceJet,Chennai,Kolkata,0,3543,12,6,9,45,2.25,12,0
244,Vistara,Chennai,Kolkata,0,4842,3,18,7,5,2.25,9,20
245,IndiGo,Banglore,Delhi,0,3943,4,24,23,30,2.8333333333333335,2,20
246,Jet Airways,Delhi,Cochin,1,10577,9,6,19,15,9.166666666666666,4,25
247,IndiGo,Delhi,Cochin,1,6979,5,15,10,35,10.416666666666666,21,0
248,Vistara,Chennai,Kolkata,0,11982,6,27,17,45,2.3333333333333335,20,5
249,SpiceJet,Delhi,Cochin,1,5264,6,6,8,45,4.5,13,15
250,Vistara,Delhi,Cochin,0,8001,3,3,6,0,3.1666666666666665,9,10
251,Air India,Delhi,Cochin,2,10651,1,6,19,45,23.5,19,15
252,Jet Airways,Kolkata,Banglore,1,10844,5,24,16,30,27.333333333333332,19,50
253,Multiple carriers,Delhi,Cochin,1,6601,3,27,9,45,12.583333333333334,22,20
254,Air India,Delhi,Cochin,1,6587,3,21,19,0,24.25,19,15
255,SpiceJet,Mumbai,Hyderabad,0,3173,3,21,13,10,1.3333333333333333,14,30
256,Air India,Banglore,Delhi,0,5228,9,5,10,0,2.75,12,45
257,Jet Airways,Banglore,Delhi,0,5769,6,21,7,10,3.0,10,10
258,Jet Airways,Delhi,Cochin,1,14714,6,6,8,0,11.0,19,0
259,Jet Airways,Delhi,Cochin,2,13014,3,6,5,30,13.5,19,0
260,IndiGo,Banglore,Delhi,0,3359,3,6,22,10,2.8333333333333335,1,0
261,GoAir,Banglore,New Delhi,0,6722,3,3,20,55,2.9166666666666665,23,50
262,IndiGo,Kolkata,Banglore,0,4462,3,18,9,35,2.75,12,20
263,IndiGo,Delhi,Cochin,1,6171,9,3,4,55,11.25,16,10
264,Air India,Kolkata,Banglore,2,12303,5,21,5,50,14.583333333333334,20,25
265,Multiple carriers,Delhi,Cochin,1,7695,3,21,11,40,13.916666666666666,1,35
266,IndiGo,Delhi,Cochin,1,5684,6,24,11,25,14.083333333333334,1,30
267,Air India,Kolkata,Banglore,1,8366,12,6,16,50,15.083333333333334,7,55
268,Air India,Chennai,Kolkata,0,19630,1,3,11,40,2.25,13,55
269,Jet Airways,Banglore,New Delhi,1,13502,6,3,14,5,15.0,5,5
270,Jet Airways,Kolkata,Banglore,1,14781,1,5,21,10,12.916666666666666,10,5
271,Multiple carriers,Delhi,Cochin,1,6513,12,6,7,10,9.0,16,10
272,Air India,Delhi,Cochin,1,9929,1,6,7,0,12.25,19,15
273,Multiple carriers,Delhi,Cochin,2,18275,6,6,17,50,7.666666666666667,1,30
274,Air India,Delhi,Cochin,1,4487,9,4,6,5,27.333333333333332,9,25
275,IndiGo,Mumbai,Hyderabad,0,2754,3,15,21,20,1.4166666666666667,22,45
276,Air India,Mumbai,Hyderabad,0,2575,3,27,6,20,1.3333333333333333,7,40
277,SpiceJet,Kolkata,Banglore,1,8224,12,6,15,55,5.5,21,25
278,Air India,Delhi,Cochin,1,8991,9,3,20,30,11.75,8,15
279,IndiGo,Delhi,Cochin,0,5000,6,24,5,35,3.25,8,50
280,Jet Airways,Kolkata,Banglore,1,8529,12,6,18,55,24.916666666666668,19,50
281,Air India,Delhi,Cochin,1,14042,3,3,6,5,27.333333333333332,9,25
282,Jet Airways,Banglore,Delhi,0,4030,5,24,11,10,2.9166666666666665,14,5
283,Jet Airways,Kolkata,Banglore,1,10844,6,6,18,55,17.083333333333332,12,0
284,IndiGo,Kolkata,Banglore,0,4804,6,5,21,25,2.6666666666666665,0,5
285,Multiple carriers,Delhi,Cochin,1,7308,5,27,17,30,8.0,1,30
286,IndiGo,Banglore,Delhi,0,4823,12,5,16,55,3.0,19,55
287,Jet Airways,Delhi,Cochin,1,10262,6,24,9,0,27.583333333333332,12,35
288,Jet Airways,Delhi,Cochin,1,12898,5,27,20,55,7.5,4,25
289,Air India,Banglore,New Delhi,2,12778,12,3,17,25,22.916666666666668,16,20
290,IndiGo,Delhi,Cochin,1,14871,3,3,4,45,8.583333333333334,13,20
291,Air India,Delhi,Cochin,2,8708,3,21,13,20,29.916666666666668,19,15
292,Jet Airways,Kolkata,Banglore,1,10844,6,6,20,0,22.25,18,15
293,SpiceJet,Mumbai,Hyderabad,0,4129,6,3,5,45,1.3333333333333333,7,5
294,IndiGo,Kolkata,Banglore,0,4804,5,18,21,25,2.6666666666666665,0,5
295,Jet Airways,Banglore,Delhi,0,7229,6,5,8,20,3.0,11,20
296,Jet Airways,Banglore,New Delhi,1,7832,3,21,7,0,12.166666666666666,19,10
297,SpiceJet,Chennai,Kolkata,0,3859,3,18,9,30,2.5833333333333335,12,5
298,Multiple carriers,Delhi,Cochin,1,9001,6,6,7,30,11.75,19,15
299,Vistara,Banglore,Delhi,0,4878,9,5,17,0,2.5833333333333335,19,35
300,IndiGo,Mumbai,Hyderabad,0,2754,3,5,2,35,1.5,4,5
301,Vistara,Banglore,Delhi,0,4668,6,27,7,0,2.6666666666666665,9,40
302,Air Asia,Kolkata,Banglore,0,5216,12,5,10,20,2.5833333333333335,12,55
303,Jet Airways,Delhi,Cochin,2,10368,6,6,5,30,22.916666666666668,4,25
304,IndiGo,Delhi,Cochin,2,8146,9,3,6,40,14.666666666666666,21,20
305,Jet Airways,Delhi,Cochin,1,12242,3,27,13,0,15.416666666666666,4,25
306,Jet Airways,Banglore,New Delhi,1,9134,3,15,8,0,7.25,15,15
307,Air India,Delhi,Cochin,2,10939,6,6,13,15,20.166666666666668,9,25
308,Air India,Delhi,Cochin,2,11753,6,6,10,55,20.75,7,40
309,SpiceJet,Kolkata,Banglore,0,4174,4,24,17,10,2.5,19,40
310,Jet Airways,Kolkata,Banglore,1,10844,5,21,20,0,23.833333333333332,19,50
311,Jet Airways,Delhi,Cochin,1,14714,3,6,16,0,27.0,19,0
312,Jet Airways,Kolkata,Banglore,1,9899,12,6,6,30,5.5,12,0
313,IndiGo,Delhi,Cochin,1,14871,3,3,9,10,11.833333333333334,21,0
314,IndiGo,Chennai,Kolkata,0,7295,6,3,13,20,2.25,15,35
315,Air India,Delhi,Cochin,2,13465,6,6,18,45,24.5,19,15
316,SpiceJet,Chennai,Kolkata,0,3543,5,21,17,45,2.3333333333333335,20,5
317,Multiple carriers,Delhi,Cochin,1,7198,6,27,19,0,6.5,1,30
318,Jet Airways,Delhi,Cochin,1,10262,1,6,8,0,20.416666666666668,4,25
319,IndiGo,Kolkata,Banglore,0,4148,3,15,15,20,2.5833333333333335,17,55
320,Jet Airways,Banglore,Delhi,0,8016,6,27,15,15,2.9166666666666665,18,10
321,Jet Airways,Delhi,Cochin,1,10262,9,6,22,50,5.583333333333333,4,25
322,SpiceJet,Kolkata,Banglore,0,3841,6,15,14,55,2.5,17,25
323,Jet Airways,Banglore,New Delhi,1,11507,12,3,9,45,14.75,0,30
324,Jet Airways,Kolkata,Banglore,1,14781,1,5,8,25,12.333333333333334,20,45
325,Jet Airways,Delhi,Cochin,1,16079,5,27,17,30,25.5,19,0
326,Jet Airways,Delhi,Cochin,1,12898,5,27,22,50,5.583333333333333,4,25
